categoría,subcategoría,procedimiento,clase_tipo,material,complejidad,precio_gaby_gs,precio_circulo_odontologos_gs,precio_colega_asuncion_bajo_gs,precio_colega_asuncion_medio_gs,precio_colega_asuncion_alto_gs,precio_colegia_luque_gs,notas_clinicas,justificacion_precio,se_publica_en_web,se_cotiza_por_chat
PRÓTESIS,removible,protesis_parcial_flex_nylon,por_arco,nylon,media,1800000,,,,,,,Más estética que acrílico,Sin金属 visible.,no,sí
PRÓTESIS,removible,protesis_parcial_cromo_cobalto,por_arco,cromo_cobalto,alta,3500000,,,,,,,Estructura metálica,Más confortable y duradera.,no,sí
PRÓTESIS,sobre_implantes,corona_sobre_implante_psi,por_unidad,segun_material,alta,4000000,,,,,,,PSI - Gaby hace la corona,La quirúrgica la hace un colega.,no,sí
PRÓTESIS,sobre_implantes,protesis_hibrida_sobre_implantes,por_arco,segun_material,alta,8000000,,,,,,,Arcada completa sobre implantes,Rehabilitación total.,no,sí
PERNOS,perno_fibra,perno_fibra_vidrio_personalizado,por_unidad,fibra_de_vidrio,media,600000,,,,,,,Con núcleo de resina,El que Gaby prefiere usar.,no,sí
PERNOS,perno_fibra,perno_fibra_vidrio_biobase,por_unidad,biobase_fibra,media,700000,,,,,,,Bioactivo,Materiales de última generación.,no,sí
PERNOS,perno_metalico,perno_metalico_fundido,por_unidad,metal,media,500000,,,,,,,Gaby casi no lo usa,,no,sí
ENDODONCIA,NO_HACE,endodoncia,derivado,derivado,alta,0,,,,,,,DERIVA a endodoncista de confianza,,no,no
CIRUGÍA,NO_HACE,extraccion_simple,por_unidad,,baja,180000,,,,,,,SÍ puede hacer cirugías simples,,sí,sí
CIRUGÍA,NO_HACE,extraccion_quirurgica,por_unidad,,media,350000,,,,,,,SÍ puede hacer,,sí,sí
CIRUGÍA,NO_HACE,extraccion_cordal_simple,por_unidad,,media,400000,,,,,,,SÍ puede hacer,,sí,sí
CIRUGÍA,NO_HACE,extraccion_cordal_quirurgica,por_unidad,,alta,600000,,,,,,,SÍ puede hacer casos no complejos,,sí,sí
CIRUGÍA,NO_HACE,extraccion_restos_radiculares,por_unidad,,media,250000,,,,,,,SÍ puede hacer,,sí,sí
CIRUGÍA,NO_HACE,cirugia_maxilofacial_compleja,derivado,derivado,alta,0,,,,,,,DERIVA a cirujano maxilofacial,,no,no
ORTODONCIA,NO_HACE,ortodoncia,derivado,derivado,media,0,,,,,,,DERIVA a ortodoncista,,no,no
IMPLANTES,NO_HACE,implante_parte_quirurgica,derivado,derivado,alta,0,,,,,,,DERIVA a implantólogo,Gaby hace la corona (PSI).,no,no
PEDIATRÍA,consulta,consulta_nino_menor_12,,,,200000,,,,,,,Consulta pediátrica,Más corta.,sí,sí
PEDIATRÍA,preventiva,flúor_niño,por_sesion,flúor,baja,100000,,,,,,,Aplicación de flúor,Preventivo.,sí,sí
PEDIATRÍA,restauracion,restauracion_simple_niño,por_diente,resina,baja,200000,,,,,,,Niño,Más rápido.,sí,sí
PEDIATRÍA,restauracion,corona_acero_niño,por_diente,acero,media,400000,,,,,,,Corona preformada,Para dientes primarios muy destruidos.,sí,sí
