place_id,name,address,phone,international_phone,website,rating,total_reviews,types,matched_keyword,vicinity,score,_tier
ChIJW9yMkdynXZQRIv7UvwMgX7s,Olmedo Abogados,"Av. Perú, Asunción 001209, Paraguay",(021) 207 185,+595 21 207 185,http://www.olmedo.com.py/,4.6,59,"['establishment', 'point_of_interest']",abogado,,65,A
ChIJSe7LvyEIXZQRhROhz--VwKE,Universidad Privada del Este - Sede Asunción,"P9C2+4V5, Tte. Guillermo Arias y, Asunción 001010, Paraguay",0981 191853,+595 981 191853,http://www.upeasuncion.edu.py/,4.6,97,"['establishment', 'point_of_interest', 'university']",universidad privada paraguay,,65,A
ChIJpXzRe4aoXZQRoVwM-kUwdW0,Asociación De Empleados Del Banco Central Del Paraguay,"PC34+2MG, Choferes del Chaco, Asunción 001229, Paraguay",(021) 619 2689,+595 21 619 2689,,4.4,325,"['establishment', 'point_of_interest']",banco privado paraguay,,65,A
ChIJz86NqDSpXZQRL5N9PM91TCg,Banco Itaú CAC Centenario,"PC64+M9M, Av. Mariscal López, Asunción 001412, Paraguay",(021) 617 2840,+595 21 617 2840,https://www.itau.com.py/Paginas/paravos_atencionparavos_telefonosdesucursales,4.7,88,"['establishment', 'point_of_interest']",banco,,65,A
ChIJWeHB5kmmXZQRJKrexAnFEDQ,Universidad San Ignacio de Loyola - Paraguay,"Av. Venezuela 2087, Asunción 001533, Paraguay",(021) 282 801,+595 21 282 801,https://www.usil.edu.py/,4.6,65,"['establishment', 'point_of_interest', 'university']",universidad,,65,A
ChIJC0-t5COoXZQRqbrv1flxDKc,Universidad Católica Nuestra Señora de la Asunción,"Tte. Lidio Cantalupi, Asunción 001303, Paraguay",(021) 318 4000,+595 21 318 4000,,4.3,518,"['establishment', 'point_of_interest', 'university']",universidad,,65,A
ChIJ85FzJ82nXZQRObXeM0Zypgo,Universidad Central del Paraguay,"Brasilia N° 1.158 e/ Tte. 2° Benigno Villamayor c/ Insaurralde, Asunción 001206, Paraguay",0993 456000,+595 993 456000,https://www.central.edu.py/,4.6,50,"['establishment', 'point_of_interest', 'university']",universidad,,65,A
ChIJU6QWJFumXZQRUpYYXlL4oKA,"National Institute of Technology, Standardization and Metrology","Av. Gral. José Gervasio Artigas 3973, Asunción 1706, Paraguay",(021) 288 6000,+595 21 288 6000,http://www.intn.gov.py/,4.2,170,"['establishment', 'local_government_office', 'point_of_interest', 'university']",technology,,65,A
ChIJi7SKspuoXZQRRTlQMZKF97c,UCOM - Universidad Comunera,"Dr. Juan Eulogio Estigarribia, Asunción 001412, Paraguay",(021) 338 7000,+595 21 338 7000,https://www.ucom.edu.py/,4.4,119,"['establishment', 'point_of_interest', 'university']",universidad privada paraguay,,65,A
ChIJp-8wHAOmXZQRuPJpOiwY2L4,Consultora Jazmín Mendoza,"Herib Campos Cervera casi, Dr. Molas López 1347, Asunción 001527, Paraguay",(021) 622 304,+595 21 622 304,http://www.jm.com.py/,4.5,51,"['establishment', 'point_of_interest']",consultora,,65,A
ChIJnVfEuJeoXZQRS8b9cHZ6sqI,Zadock Technology,"Antolin Irala 3190, Asunción 001405, Paraguay",(021) 665 015,+595 21 665 015,http://www.zadock.com/,4.7,59,"['establishment', 'point_of_interest']",technology,,65,A
ChIJKWiLcd6nXZQRW-2nUGVj0pw,EMSA Inmobiliaria S.A.,"Avenida República Argentina, &, Asunción 001421, Paraguay",0976 581281,+595 976 581281,http://www.emsa.com.py/,4.3,77,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,60,A
ChIJQ0av99WnXZQRzjQDRWWqPE0,"Turbaux, Fuchs, Zorraquín, Abogados","Capitan Herminio Maldonado N° 844, Asunción 001407, Paraguay",0981 619000,+595 981 619000,http://www.estudiotfz.com/,4.9,30,"['establishment', 'point_of_interest']",abogado,,60,A
ChIJueYHntKpXZQR_0tFnKU684s,Clinica San Nicolás,"Incas 3467, Asunción 001426, Paraguay",0984 102582,+595 984 102582,https://www.csn.com.py/,4.9,36,"['establishment', 'health', 'point_of_interest']",clinica medica,,60,A
ChIJ6aYllJaoXZQRqbXf6hCJtJk,Universidad Centro Medico Bautista,"Av. República Argentina 635 Casi, Asunción 001416, Paraguay",(021) 603 655,+595 21 603 655,https://ucmb.edu.py/,4.1,79,"['establishment', 'point_of_interest', 'university']",universidad,,60,A
ChIJDW4x1aaoXZQRPyQk8UpAS2c,Banco BASA,"Av. Aviadores del Chaco, Asunción 001410, Paraguay",(021) 618 7070,+595 21 618 7070,https://www.bancobasa.com.py/,4.2,63,"['bank', 'establishment', 'finance', 'point_of_interest']",banco,,60,A
ChIJ5RkQc3aoXZQRE7uCgZOGl0c,Dsv Estudio Juridico,"Azara 1879, Asunción 001224, Paraguay",0981 868777,+595 981 868777,https://www.dsvestudio.com/,5.0,35,"['establishment', 'lawyer', 'local_government_office', 'point_of_interest']",estudio juridico paraguay,,60,A
ChIJf7a7ju2nXZQRkRL95BDSw1I,"Universidad Católica ""Nuestra Señora de la Asunción"" Sede Central","Cordillera de Amambay casi, Asunción 001101, Paraguay",(021) 318 4000,+595 21 318 4000,,3.9,288,"['establishment', 'point_of_interest', 'university']",universidad,,60,A
ChIJG6B9p9ynXZQRDQVJVp6tKUU,Vouga Abogados,"Juan de Salazar y Espinoza 657, Asunción 001210, Paraguay",(021) 202 049,+595 21 202 049,https://www.vouga.com.py/,4.3,54,"['establishment', 'point_of_interest']",abogado,,60,A
ChIJMSPJwi-pXZQRXlZSjft_hrQ,Top Technology Villa Morra,"San Roque Gonzalez de Santacruz &, Quesada, Asunción 1518, Paraguay",0992 780941,+595 992 780941,https://www.toptechnology.com.py/,3.7,125,"['establishment', 'point_of_interest', 'store']",technology,,60,A
ChIJg-r6i_GnXZQRvEjGb-pLHUU,BNF - Banco Nacional de Fomento (Casa Central),"Independencia Nacional, Asunción 001101, Paraguay",(021) 413 9000,+595 21 413 9000,http://www.bnf.gov.py/,3.8,161,"['bank', 'establishment', 'finance', 'point_of_interest']",banco,,60,A
ChIJmbPXZdOnXZQRUR_vn8QXXwU,Saguier Abente Law Firm,"Fray Luis de León Nº239 esq. Diego de, Velazquez, Asunción 2785, Paraguay",(021) 221 836,+595 21 221 836,http://www.saguierabente.com/,4.8,23,"['establishment', 'point_of_interest']",firma abogados paraguay,,60,A
ChIJ6ZbsIz-oXZQRdik2aUuVI2E,Consultora Virtus Asociados,"Tte, Rene Brugada 2925-B, Asunción 001240, Paraguay",0981 382434,+595 981 382434,https://www.norbertomorinigo.com/servicios,4.8,16,"['establishment', 'point_of_interest']",consultora,,55,A
ChIJtR5ZlT6mXZQRiDdPuD1siRU,Opentech S.A. - Consultores en Innovación,"Tte. 1ro. Roque Cabrera Haedo, Asunción 1403, Paraguay",(021) 328 5542,+595 21 328 5542,https://www.opentech.com.py/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2656665911910231468,4.7,27,"['establishment', 'point_of_interest']",technology,,55,A
ChIJtdMZhqeoXZQROE8CXr7eJ9s,Banco Itaú Paraguay SA,"Asunción 001529, Paraguay",(021) 617 2540,+595 21 617 2540,http://www.itau.com.py/,3.6,52,"['bank', 'establishment', 'finance', 'point_of_interest']",banco,,55,A
ChIJV3edKaKoXZQR7LcL_3PpWjc,Banco Familiar,"Av. Gral. José de San Martín ESQ, Asunción 001409, Paraguay",0800 113322,+595 800 113322,https://www.familiar.com.py/,3.4,79,"['bank', 'establishment', 'finance', 'point_of_interest']",banco,,55,A
ChIJFQapeJyoXZQRyhkjbi1PC_M,Banco Continental S.A.E.C.A.,"Gral Eugenio Alejandrino Garay & Av. Mariscal López, PC58+6CQ, Asunción 001411, Paraguay",(021) 627 4000,+595 21 627 4000,,3.6,117,"['bank', 'establishment', 'finance', 'point_of_interest']",banco,,55,A
ChIJF2N0-3ioXZQRPPNlY8wIhgQ,AG & Asociados - Abogados,"580, Asunción 001208, Paraguay",(021) 210 884,+595 21 210 884,http://www.agabogados.com.py/,4.9,10,"['establishment', 'point_of_interest']",abogado,,55,A
ChIJJ4nTMOmpXZQRojp6nsuPXH4,Innova Technology Paraguay,"Av. República Argentina 433, Asunción 1855, Paraguay",0981 682448,+595 981 682448,https://www.innovatechnology.com.py/,5.0,10,"['establishment', 'point_of_interest']",technology,,55,A
ChIJR7cp8_CnXZQR1FcXuiIfoFE,Estudio Jurídico Riera Abogados,"Iturbe 869, Asunción 001101, Paraguay",(021) 444 789,+595 21 444 789,https://www.estudioriera.com.py/,4.6,46,"['establishment', 'point_of_interest']",abogado,,55,A
ChIJ30My6I-pXZQRB2T__LD0-kY,Lega Consultora,"Av. Mariscal López y, Asunción 001408, Paraguay",0985 891122,+595 985 891122,https://sites.google.com/view/legaconsultora/home,5.0,6,"['establishment', 'point_of_interest']",consultora,,55,A
ChIJGX75BECnXZQRy5OVyS-MlEk,MERSAN Inmobiliaria,"Tte, Rodolfo Zotti 969 c, Asunción 001413, Paraguay",0974 610166,+595 974 610166,http://www.mersan.com.py/,4.7,36,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,55,A
ChIJQ9WS7munXZQR_PkudVuFuYk,Home Hunters Py - Inmobiliaria,"San Martin 1552 e, San Juan XXlll y, Asunción 001528, Paraguay",0972 997661,+595 972 997661,https://www.homehunters.com.py/,4.8,18,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,55,A
ChIJ1YG8LXKpXZQR0YHuq3wCp9Q,"ASUTECH PY, Informática, Instalación de Cámaras de Seguridad.","Dr. Toribio Pacheco 6448, Asunción 1860, Paraguay",0982 123383,+595 982 123383,http://www.asutech.com.py/,5.0,12,"['electronics_store', 'establishment', 'point_of_interest', 'store']",technology,,55,A
ChIJ7X9VZ1enXZQRAkZWTafLyrU,Concept Consultora,"Florida 1111 - PB, Asunción 1107, Paraguay",0993 567979,+595 993 567979,https://conceptconsultora.com/,5.0,1,"['establishment', 'point_of_interest']",consultora,,50,B
ChIJyb2In7e7GUcRXjs7blA-MDw,Medicina no Paraguai (Consultora Universitaria),"QF76+5VJ, Asunción, Mariano Roque Alonso 001506, Paraguay",0984 539379,+595 984 539379,https://www.instagram.com/medicinaorg/,5.0,1,"['establishment', 'point_of_interest']",consultora,,50,B
ChIJrXqS-AamXZQRNkfD7mwgUSw,San Gerardo Inmobiliaria S.A,"Tte. Juan Ramón Jiménez 830, Asunción 1732, Paraguay",0986 436000,+595 986 436000,http://www.sangerardoinmobiliaria.com/,4.5,14,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,50,B
ChIJwywE2k6mXZQRNUWXttNjl9U,Gesa Consultora,"Av. Gral. José Gervasio Artigas 3316, Asunción 001532, Paraguay",(021) 281 579,+595 21 281 579,,5.0,11,"['establishment', 'point_of_interest']",consultora,,50,B
ChIJbYOj9pGoXZQRXR3jrCJp0jY,Gestión Consultoría Organizacional,"San Roque González de Santacruz No. 1279 entre De Las Palmeras y, Cuartel de la Rivera, Asunción 001414, Paraguay",0983 762110,+595 983 762110,http://www.gestionconsultoria.com.py/,4.8,179,"['establishment', 'point_of_interest']",consultora,,50,B
ChIJDw2w5BipXZQRVMluqsL5zWc,Consultora Arconte,"Cordillera de Aguragüe 1035 Asunción, Asunción 1209, Paraguay",0972 400188,+595 972 400188,,4.8,5,"['establishment', 'point_of_interest']",consultora,,50,B
ChIJee0fmfSnXZQRBSyRZKHMunc,FVV Auditores y Consultores de Capital y Talento Humano.,"22 de Septiembre N° 624 entre, Félix de Azara y, Asunción 001013, Paraguay",(021) 224 070,+595 21 224 070,,4.8,436,"['establishment', 'point_of_interest']",consultora,,50,B
ChIJb8PgGqyoXZQR5OEapQ4y59o,Kemper Dejesus & Pangrazio. Abogados y Consultores,"Denis Roa N° 1553, Asunción 001410, Paraguay",(021) 610 748,+595 21 610 748,http://www.kdpabogados.com.py/,4.8,4,"['establishment', 'point_of_interest']",firma abogados paraguay,,50,B
ChIJYVfyh72nXZQRxrZqrxRhi_w,Estudio Jurídico Rene Monges Abogado,"Mcal. Estigarribia y, Asunción 001101, Paraguay",0981 964623,+595 981 964623,,5.0,8,"['establishment', 'lawyer', 'point_of_interest']",abogado,,50,B
ChIJhUDx15-pXZQRAgTGhuVrDRw,Laura Jara Inmobiliaria,"Eusebio Lillo Robles, Asunción 001001, Paraguay",0981 120423,+595 981 120423,http://www.view.com.py/,4.6,14,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,50,B
ChIJiwEyz9anXZQRbfW9rvvsTmk,Banco Continental,"P96V+MM4, Av. España, Asunción 001208, Paraguay",2061957,+595 206 1957,,3.7,59,"['bank', 'establishment', 'finance', 'point_of_interest']",banco,,50,B
ChIJJYHSQ9qnXZQR-RB8CGOoK6g,Columbia University of Paraguay,"Av. España 1239, Asunción 001209, Paraguay",(021) 219 8000,+595 21 219 8000,https://www.columbia.edu.py/,4.5,305,"['establishment', 'point_of_interest', 'university']",universidad,,50,B
ChIJKdrx3baoXZQREG53MOZUk9I,Clinica VIDAMED,"Moisés Bertoni 2839, Asunción 0000, Paraguay",(021) 670 605,+595 21 670 605,,4.9,14,"['establishment', 'health', 'point_of_interest']",clinica medica,,50,B
ChIJRbxYku2uXZQRxhT07W-hMxo,National University of Asuncion,"Campus Universitario, San Lorenzo 111421, Paraguay",(021) 585 540,+595 21 585 540,https://www.una.py/,4.6,2266,"['establishment', 'point_of_interest', 'university']",universidad,,50,B
ChIJwUvAkBavXZQRs05MQGZgYLc,Inmobiliaria Paraguay Propiedades S.A,"Av. Gral. Manuel Brítez Borges, Luque 110944, Paraguay",0991 444111,+595 991 444111,http://www.ppi.com.py/,5.0,4,"['establishment', 'point_of_interest']",inmobiliaria paraguay,,50,B
ChIJW2RPmPSnXZQRvaUx6CxYNcI,Estudio Juridico Recalde D'Andrea,"piso 15, Av. Aviadores del Chaco 3100, Asunción 1725, Paraguay",(021) 664 179,+595 21 664 179,http://www.recalde-dandrea.com.py/,4.4,25,"['establishment', 'point_of_interest']",estudio juridico paraguay,,50,B
ChIJzXHdY0KmXZQR5V0Ckn1L6NE,Estudio Juridico Schultheiss,"Cnel. Felipe Toledo 131, Asunción 001519, Paraguay",0981 120195,+595 981 120195,,4.8,10,"['establishment', 'point_of_interest']",estudio juridico paraguay,,50,B
ChIJ7QY05fKuXZQRN2Wgb4ZyoYo,Faculty of Engineering National University of Asunción,"San Lorenzo 111421, Paraguay",(021) 729 0010,+595 21 729 0010,https://www.ing.una.py/,4.5,472,"['establishment', 'point_of_interest', 'university']",ingenieria,,50,B
ChIJh4z3whSmXZQREH0L27jI-ro,Faculty of Law and Social Sciences of the National University of Asuncion,"PCPH+RWR, Congreso de Colombia, Asunción 001521, Paraguay",(021) 288 5000,+595 21 288 5000,http://www.der.una.py/,4.6,623,"['establishment', 'point_of_interest']",universidad,,50,B
ChIJiVSOUEKmXZQRxEGU_OS6BCE,Centro Médico Corppolive,"Santisimo Sacramento 3069, Asunción 001519, Paraguay",0971 568547,+595 971 568547,,5.0,259,"['establishment', 'health', 'hospital', 'point_of_interest']",clinica medica,,50,B
ChIJ_dXjOvanXZQRz1D7xtbJxk0,Autonomous University of Asuncion,"Jejuí 667, Asunción 001013, Paraguay",(021) 495 873,+595 21 495 873,http://www.uaa.edu.py/,4.5,558,"['establishment', 'point_of_interest', 'university']",universidad,,50,B
ChIJCwUtKCqpXZQRXuECsoGEhi8,Consultora Talento,"Av. Médicos del Chaco Nº 2700 Esquina, Asunción 001423, Paraguay",0985 843000,+595 985 843000,https://www.talento.com.py/,5.0,4,"['establishment', 'point_of_interest']",consultora recursos humanos paraguay,,50,B
ChIJy9ruKpepXZQRtvFkdEvQLHA,Query Software,"Av. Sta. Teresa 1962, Asunción 001410, Paraguay",0986 128399,+595 986 128399,https://www.query.com.py/,5.0,1,"['establishment', 'point_of_interest']",software,,50,B
ChIJI34qHWyoXZQRkKtola2g7q4,Alpha Software PY,"Av Gral Máximo Santos 1647, Asunción 1237, Paraguay",0994 209224,+595 994 209224,http://www.alphasoft.com.py/,5.0,1,"['establishment', 'point_of_interest']",software house paraguay,,50,B
ChIJoYZqsrapXZQRnqyxk7BO3Fk,Di Talento Consultora,"Colón 469 Casi, Asunción 001012, Paraguay",0981 204893,+595 981 204893,http://www.ditalento-consultora.com.py/,4.3,29,"['establishment', 'point_of_interest']",consultora recursos humanos paraguay,,50,B
ChIJQ9I28ZPNXZQRDrwhNcJngr8,Nexo Digital,"Mcal. López, Atyrá 3040, Paraguay",0991 297083,+595 991 297083,https://nexodigital.com.py/,5.0,140,"['establishment', 'point_of_interest']",agencia marketing paraguay,,50,B
ChIJ_6a6pzqlXZQRJP0OeFTwwxs,Leyton Technology,"Soldado Juan Bautista Pintos 5933, Asunción 001507, Paraguay",(021) 328 8942,+595 21 328 8942,https://www.leyton.com.py/,5.0,1,"['electronics_store', 'establishment', 'point_of_interest', 'store']",technology,,50,B
ChIJEz7AFYEjX5QR0t3sZKFjxtE,Elice Digital,"Gral. Caballero 112, Fernando de la Mora 2300, Paraguay",0981 133051,+595 981 133051,http://www.elicedigital.com/,4.9,110,"['establishment', 'point_of_interest']",marketing digital,,50,B
ChIJzyVGJwCpXZQRhzymWDaXZO0,Posibillian Tech S.A.,"Asunción 001401, Paraguay",,,https://posibillian.tech/,4.9,16,"['establishment', 'point_of_interest']",software,,50,B
ChIJI0xZXh-vXZQRsIpmncUspAI,DLS Technology S.A.,"Adrian Matheu Aguilar Nro: 187 casi, Av. Sta. Teresa, Asunción 001402, Paraguay",(021) 683 820,+595 21 683 820,https://www.dlstechnology.com.py/,4.5,2,"['establishment', 'point_of_interest']",technology,,45,B
ChIJ_6zSgNynXZQRdbUBucCedbo,Manpower,"Av. España 2044 casi, Asunción 001207, Paraguay",(021) 248 2000,+595 21 248 2000,http://www.manpower.com.py/,4.2,364,"['establishment', 'point_of_interest']",consultora recursos humanos paraguay,,45,B
ChIJvbC7FCCmXZQRcu95cMoXm-E,DG Consultora,"Prof. Rómulo Feliciángeli 402, Asunción 001529, Paraguay",0985 105574,+595 985 105574,,5.0,1,"['accounting', 'establishment', 'finance', 'point_of_interest']",consultora,,45,B
ChIJtev7LKSnXZQRfprG4BolpXs,Sur Inmobiliaria S.R.L,"Mcal Lopez 184 entre Brasil Y, Constitucion 184, Asunción 001218, Paraguay",0994 114005,+595 994 114005,,4.2,32,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,45,B
ChIJozgSRcWnXZQRSWCO7_meDhI,Roshka,"Automotor S.A. - Isuzu, Av. Gral. José Gervasio Artigas 2025, Asunción 001202, Paraguay",0981 184264,+595 981 184264,https://www.roshka.com/,4.8,78,"['establishment', 'point_of_interest']",software,,45,B
ChIJAwmifNCnXZQRwkp71o6at00,Documenta S.A.,"Av. República Argentina 893, c, Asunción 001415, Paraguay",0976 341020,+595 976 341020,http://www.documenta.com.py/,4.4,257,"['establishment', 'point_of_interest']",software,,45,B
ChIJF6EO1ESnXZQRvAIWR1TEQp8,Inmobiliaria General S.A. - Matriz,"Ayolas &, P995+9QV, Gral. Díaz, Asunción 001012, Paraguay",(021) 497 894,+595 21 497 894,http://www.igsa.com.py/,4.4,19,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,45,B
ChIJL5_7uuenXZQRKFBttWrcq6w,Capital Humano,"Av. Mariscal López 1712 casi, Asunción 001228, Paraguay",(021) 210 818,+595 21 210 818,http://www.capitalhumano.com.py/,4.5,147,"['establishment', 'point_of_interest']",consultora recursos humanos paraguay,,45,B
ChIJN-K-ZxOnXZQROZAuZsRvfsI,CA Consultora,"Tte 1075, Asunción 001535, Paraguay",0983 229958,+595 983 229958,,5.0,3,"['establishment', 'point_of_interest']",consultora,,45,B
ChIJveZkW8OnXZQR6k52S_hsGXw,"FCA Law Firm - Fiorio, Cardozo & Alvarado Law Firm","Av. Perú 708, Asunción 001210, Paraguay",(021) 205 052,+595 21 205 052,http://www.fca.com.py/,4.4,15,"['establishment', 'lawyer', 'point_of_interest']",abogado,,45,B
ChIJA2f3CbaoXZQRLzGlUzdUNgs,REMAX Paraguay,"Av. Mariscal López N°5451, Asunción 001406, Paraguay",(021) 728 9140,+595 21 728 9140,https://www.remax.com.py/,4.5,108,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,45,B
ChIJPyZ4l8uoXZQRCWq2FZl0v2s,2D INMOBILIARIA,"Av. Mariscal López 4433 c/, Belgica, Asunción 001408, Paraguay",0981 999251,+595 981 999251,http://www.2dinmobiliaria.com.py/,3.7,40,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,45,B
ChIJE3WnPyKnXZQRy98VyR-q6gk,Eskalar Consultora Paraguay,"Bogotá 3165, Asunción 001519, Paraguay",0972 157822,+595 972 157822,,5.0,1,"['establishment', 'point_of_interest']",consultora,,45,B
ChIJJ9GCH6qnXZQRyZfHB-h8zPc,Tuma Legal Group,"Iturbe 675, Asunción 001101, Paraguay",(021) 441 176,+595 21 441 176,http://www.estudiotuma.com.py/,4.8,97,"['establishment', 'point_of_interest']",abogado,,45,B
ChIJn22VoO-nXZQRFrzM7vBHE1Q,Columbia University of Paraguay,"25 de Mayo, Asunción 001101, Paraguay",(021) 490 811,+595 21 490 811,https://www.columbia.edu.py/,4.5,177,"['establishment', 'point_of_interest', 'university']",universidad,,45,B
ChIJ17BozUCmXZQR6vcKjEKWmAc,Tecnoedil S.A. Constructora,"Santisimo Sacramento N° 2265, Asunción 001532, Paraguay",(021) 291 947,+595 21 291 947,http://www.tecnoedil.com.py/,4.7,136,"['establishment', 'point_of_interest']",constructora,,45,B
ChIJfcr22janXZQR7dXcypyG5dI,Estudio Jurídico BG ABOGADOS,"Cabo Primero Feliciano Marecos 422, Asunción 001529, Paraguay",,,https://bgabogados.com.py/,5.0,2,"['establishment', 'point_of_interest']",estudio juridico paraguay,,45,B
ChIJ3Uz8WJaoXZQRP1HCySEiOH8,Centro Médico Bautista,"Avda. República Argentina y, Campos Cervera 635, Asunción 001416, Paraguay",(021) 688 9000,+595 21 688 9000,http://www.cmb.org.py/,4.1,365,"['establishment', 'health', 'hospital', 'point_of_interest']",clinica medica,,45,B
ChIJw17NOcinXZQR5klfEWcqDfk,La Costa,"Av. Gral. José Gervasio Artigas 1500, Asunción 001202, Paraguay",(021) 217 1000,+595 21 217 1000,http://www.lacosta.com.py/,4.0,621,"['establishment', 'health', 'hospital', 'point_of_interest']",clinica medica,,45,B
ChIJIfhsny6mXZQRgK5XwJ3qQYA,UCSA - Campus Universitario,"Centro Educativo San Agustín, Sgto. José León Gauto, Asunción 001535, Paraguay",(021) 221 106,+595 21 221 106,http://www.ucsa.edu.py/,4.3,270,"['establishment', 'point_of_interest', 'university']",universidad,,45,B
ChIJO3BKAqGoXZQR-oxtWczz5EU,Pacific Private University,"O'Higgins esquina, Asunción 1111, Paraguay",(021) 615 490,+595 21 615 490,,4.5,400,"['establishment', 'point_of_interest', 'university']",universidad,,45,B
